param N=400;
param V1=10;
param COST_cm=0.00451414;
param COST_min=2000;
param K1=4;
param FC=83333.3;
param M=9000000;
param CV=100000;
param U=57;
param Dem:=
0 0
1 3
2 4
3 12
4 8
5 2
6 9
7 19
8 19
9 6
10 5
;

param a:=
0 0
1 27
2 38
3 11
4 28
5 2
6 188
7 185
8 198
9 85
10 73
;

param b:=
0 1440
1 615
2 579
3 568
4 553
5 581
6 862
7 926
8 944
9 828
10 788
;

param s:=
1 45
2 34
3 35
4 30
5 34
6 35
7 37
8 35
9 43
10 32
;

param D:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  3313633.167688 5112686.231327 5984563.910595 5282350.690744 6459595.743543 5972175.979490 4439673.053278 3870094.051829 4960168.707816 485558.667928 
1 3313633.167688  .  2388062.396588 2700885.056792 2110023.717876 3280696.365103 2714915.615632 1227159.358030 765262.007420 2205196.431160 3679672.231327 
2 5112686.231327 2388062.396588  .  2739886.366257 2905275.897398 3579257.108675 2905397.785158 2501149.343802 2643423.668276 182947.123508 5330476.008763 
3 5984563.910595 2700885.056792 2739886.366257  .  870725.088647 839385.018928 201787.536781 1556716.473864 2132012.272479 2657422.384567 6371248.959192 
4 5282350.690744 2110023.717876 2905275.897398 870725.088647  .  1182890.836045 762639.974038 882949.602186 1421033.514735 2776722.746332 5694208.780858 
5 6459595.743543 3280696.365103 3579257.108675 839385.018928 1182890.836045  .  685702.501089 2058622.532180 2603869.770169 3495367.462800 6875264.437823 
6 5972175.979490 2714915.615632 2905397.785158 201787.536781 762639.974038 685702.501089  .  1532606.841300 2104995.529686 2815947.403628 6368249.198171 
7 4439673.053278 1227159.358030 2501149.343802 1556716.473864 882949.602186 2058622.532180 1532606.841300  .  575322.735515 2340106.239041 4838759.101257 
8 3870094.051829 765262.007420 2643423.668276 2132012.272479 1421033.514735 2603869.770169 2104995.529686 575322.735515  .  2467048.349749 4275375.549586 
9 4960168.707816 2205196.431160 182947.123508 2657422.384567 2776722.746332 3495367.462800 2815947.403628 2340106.239041 2467048.349749  .  5186963.428635 
10 485558.667928 3679672.231327 5330476.008763 6371248.959192 5694208.780858 6875264.437823 6368249.198171 4838759.101257 4275375.549586 5186963.428635  .  
;

param t:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  39.763598 61.352235 71.814767 63.388208 77.515149 71.666112 53.276077 46.441129 59.522024 5.826704 
1 39.763598  .  28.656749 32.410621 25.320285 39.368356 32.578987 14.725912 9.183144 26.462357 44.156067 
2 61.352235 28.656749  .  32.878636 34.863311 42.951085 34.864773 30.013792 31.721084 2.195365 63.965712 
3 71.814767 32.410621 32.878636  .  10.448701 10.072620 2.421450 18.680598 25.584147 31.889069 76.454988 
4 63.388208 25.320285 34.863311 10.448701  .  14.194690 9.151680 10.595395 17.052402 33.320673 68.330505 
5 77.515149 39.368356 42.951085 10.072620 14.194690  .  8.228430 24.703470 31.246437 41.944410 82.503173 
6 71.666112 32.578987 34.864773 2.421450 9.151680 8.228430  .  18.391282 25.259946 33.791369 76.418990 
7 53.276077 14.725912 30.013792 18.680598 10.595395 24.703470 18.391282  .  6.903873 28.081275 58.065109 
8 46.441129 9.183144 31.721084 25.584147 17.052402 31.246437 25.259946 6.903873  .  29.604580 51.304507 
9 59.522024 26.462357 2.195365 31.889069 33.320673 41.944410 33.791369 28.081275 29.604580  .  62.243561 
10 5.826704 44.156067 63.965712 76.454988 68.330505 82.503173 76.418990 58.065109 51.304507 62.243561  .  
;

param E:=
[*,*,1]:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  63.178867 44.301190 46.272156 66.735982 83.522318 84.000508 52.000296 47.849739 57.670260 6.074155 
1 37.567249  .  27.944201 29.300401 28.858319 45.365684 25.992803 12.974708 7.892520 23.488818 42.472726 
2 81.431047 27.669709  .  32.237179 34.786029 44.873848 37.763109 37.379396 31.740683 2.209450 60.827677 
3 72.110891 29.425730 36.450061  .  7.955264 10.116490 2.394558 17.982731 26.781393 29.037905 79.234910 
4 63.330360 24.328087 36.173286 8.581435  .  14.987182 8.658148 8.246117 15.771717 34.382062 65.095825 
5 79.499474 56.329763 40.895942 7.889502 14.406932  .  7.932098 24.019911 30.920468 33.998453 81.218440 
6 68.064779 34.140251 32.886446 1.786345 8.704019 7.158742  .  20.846479 29.045513 34.058953 75.821316 
7 44.861367 15.276875 29.484933 18.226734 11.339023 22.024263 15.510590  .  6.413762 30.104501 109.644991 
8 48.261773 9.646058 37.369774 21.714118 17.204922 30.510397 33.714300 6.861410  .  50.262350 58.338980 
9 73.554456 35.484436 2.200831 42.145388 39.606348 36.172908 30.977432 29.120275 31.645731  .  51.207645 
10 5.426759 58.022981 62.330099 55.088657 68.682123 72.500234 91.846441 56.366671 54.553226 65.562995  .  
[*,*,2]:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  38.232277 45.724109 79.456397 64.669296 65.811121 113.988615 55.333139 42.003549 60.046765 6.377970 
1 59.847724  .  30.670740 31.495023 24.203307 33.862668 25.184445 14.273504 8.687811 25.585458 61.138899 
2 60.006456 29.245076  .  31.198055 35.110777 44.019065 50.744374 25.265700 32.458073 2.324765 59.547091 
3 70.899288 23.923567 39.416554  .  12.774043 10.690677 2.520539 17.564445 23.490238 28.061644 79.496003 
4 60.601022 23.922586 36.750997 9.199009  .  14.151439 12.516551 9.090770 15.013708 33.964122 70.278734 
5 121.592611 46.622267 43.296267 10.773164 14.268802  .  8.239515 25.724354 28.840111 72.714990 138.736369 
6 75.719828 34.858936 32.712382 2.116333 9.090395 7.981186  .  16.946827 24.692223 34.448950 72.125136 
7 60.291441 14.478539 33.936544 18.769555 10.458419 26.521434 26.521249  .  6.888050 29.040149 52.553740 
8 48.731201 8.149998 40.072075 23.157487 12.466583 30.955531 36.827249 7.124859  .  30.242419 61.594970 
9 63.727154 16.698100 1.760075 33.587480 28.692995 37.340981 40.084883 27.806721 27.968472  .  63.581382 
10 5.592063 43.700936 74.437555 76.047551 66.913207 104.075289 72.328539 70.615912 48.914920 68.350278  .  
[*,*,3]:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  44.615478 57.793293 107.361270 69.875767 81.153857 75.600440 51.526563 41.391340 54.609767 6.105368 
1 53.516907  .  33.978760 34.868488 21.303475 50.633114 39.714866 15.498963 10.762048 25.841732 40.153210 
2 55.042578 27.730369  .  31.874316 35.004411 43.087386 36.137314 36.553375 32.190293 2.032367 70.115989 
3 70.826210 25.583164 32.587727  .  9.612024 9.971037 2.358783 16.480546 35.232898 33.548617 73.056210 
4 65.454055 24.479658 32.957227 9.906822  .  13.581690 6.633573 10.756805 19.504880 32.360437 56.133193 
5 95.128247 44.385777 40.249408 26.130258 15.858132  .  7.471481 24.402788 35.087353 51.003377 98.453474 
6 70.197869 33.870068 37.230602 3.313162 9.229459 8.687069  .  18.151680 18.460659 31.902645 76.156787 
7 57.460972 15.128377 23.396257 17.559986 10.979354 22.520545 25.636540  .  7.040045 24.054905 94.815767 
8 47.474710 7.771792 29.519223 21.744130 16.879450 29.115758 32.027118 6.920058  .  29.162319 48.881188 
9 61.460133 38.610930 1.776880 33.361328 39.773134 40.025597 44.976398 23.667613 32.028241  .  58.568860 
10 7.748106 52.478833 64.488385 72.613066 64.993531 101.078058 73.061817 58.172330 49.837962 62.669781  .  
[*,*,4]:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  33.907057 52.744000 77.272238 62.457203 63.193060 84.329550 54.565978 43.325785 61.349903 5.838987 
1 43.090962  .  27.741166 34.196419 24.426631 40.677716 30.567567 13.328119 11.504261 26.429901 55.984939 
2 54.705191 26.715204  .  33.436872 35.756875 40.892697 31.194723 23.939704 31.703872 2.321595 81.266104 
3 74.741874 66.729732 35.109022  .  17.353349 10.608149 2.437707 14.705036 37.593875 31.171150 72.187028 
4 67.984568 25.254313 34.822454 10.388010  .  13.472519 9.986204 10.645978 25.156022 33.764505 74.609657 
5 111.304099 44.345618 46.428860 7.761460 17.437083  .  11.832321 27.037857 34.425826 64.623502 79.811491 
6 65.656426 35.065715 32.923804 1.595538 9.582802 8.481687  .  17.530182 24.828178 32.682635 86.566082 
7 66.587782 15.278653 19.944166 19.527929 10.216016 22.667713 15.182189  .  7.119991 40.396881 49.425452 
8 44.396173 8.466951 31.763399 22.671573 16.210004 31.455114 22.489835 6.268919  .  31.066750 48.426372 
9 57.465010 25.909888 2.320431 33.743865 32.454569 36.064790 24.629623 27.759259 32.431240  .  69.106310 
10 5.513391 36.146719 60.510744 213.896453 69.350321 78.481840 82.237807 57.579002 55.437904 63.464334  .  
[*,*,5]:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  32.779398 63.309112 102.938985 94.200798 87.325170 64.145144 52.285878 59.081093 66.459047 6.297148 
1 46.811585  .  26.184268 47.422021 23.806927 38.695448 27.696318 14.686735 9.169875 28.677313 43.653664 
2 78.141977 22.110041  .  31.277450 36.166368 43.477704 40.999453 29.042115 31.002488 1.952070 82.856091 
3 73.986172 39.043458 29.316563  .  8.657762 9.729623 2.377586 16.867986 44.793483 31.121086 73.766745 
4 62.801303 26.483280 38.043801 9.541998  .  13.924765 9.853481 14.275904 25.072843 32.335804 67.327891 
5 104.257381 31.928419 42.383163 9.752640 14.303077  .  8.977904 24.964635 30.772316 43.333326 72.281766 
6 75.136109 31.314525 38.133821 2.680828 9.030362 17.786130  .  17.309859 32.599960 33.238335 70.959569 
7 71.624630 14.126372 27.126889 18.783461 10.769396 25.195366 17.171667  .  7.513506 68.664829 59.066439 
8 46.203483 8.645217 26.399990 34.768648 18.384256 35.426160 32.814557 6.594675  .  20.295490 63.937703 
9 69.394795 36.474367 2.566128 39.131902 23.406220 39.922310 30.811979 34.678502 32.966875  .  68.229530 
10 6.432783 30.181425 53.262103 80.510629 64.552034 90.859245 119.839449 48.861863 54.456705 60.731078  .  
[*,*,6]:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  49.781369 44.967870 84.559790 79.585842 69.209876 74.618874 56.153919 57.786960 58.549976 5.925948 
1 32.081487  .  29.239374 25.713969 19.752853 30.818336 42.130232 15.241090 9.136633 21.503104 47.163377 
2 56.846534 23.732115  .  33.231212 33.088517 45.330039 41.425122 27.245989 31.498534 1.863780 63.948510 
3 63.072528 34.175933 36.242574  .  8.703297 10.431479 2.357949 17.294930 15.743058 49.262409 86.134854 
4 61.627959 26.103599 34.047528 11.879342  .  15.079757 7.892211 11.075790 14.775158 30.781612 59.886066 
5 119.953917 44.449295 40.436210 10.360413 14.908000  .  8.676525 24.384675 31.408123 51.758078 69.879425 
6 66.232805 32.991117 33.899934 2.084851 8.889661 7.820227  .  18.047767 19.019401 32.528150 82.608350 
7 57.246702 15.583961 45.100204 19.494405 10.080902 25.684386 22.007488  .  6.514724 31.226105 62.893576 
8 47.127316 7.091056 33.759487 23.459987 20.961888 32.508202 29.479823 6.966571  .  24.980709 57.613691 
9 47.924015 40.973850 1.796731 31.097561 29.199590 36.508726 29.415278 58.716361 35.248558  .  52.755791 
10 5.511077 44.138054 59.296675 64.254989 70.983164 96.753087 56.683651 59.442187 48.803404 61.542273  .  
[*,*,7]:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  30.518890 76.686792 65.756807 86.738514 81.704665 68.859960 55.083973 43.563344 57.924799 5.915776 
1 44.183907  .  25.949845 39.018445 30.623014 56.190230 31.595164 15.481137 11.841937 20.840291 49.867389 
2 55.651202 22.494385  .  33.873290 32.727373 42.446396 42.531749 32.681022 31.222798 3.170055 60.445204 
3 74.206004 34.147750 27.764334  .  8.010754 10.425590 2.465740 18.914986 24.868828 28.460655 77.858090 
4 58.824471 27.644624 33.656477 8.964760  .  14.837953 11.847514 11.049368 11.044723 33.084677 60.034318 
5 59.193648 40.358076 43.112696 7.917859 12.976298  .  8.413887 27.785583 31.677424 64.714964 80.070937 
6 77.687483 32.175694 33.260763 1.953434 7.976085 6.611829  .  17.843154 27.472595 34.167693 81.596174 
7 66.514453 13.081354 54.046302 17.678562 10.482313 24.148691 17.792475  .  7.138626 38.060261 50.276770 
8 45.175337 8.548893 26.723459 27.449319 16.289253 32.271703 24.316017 6.919321  .  33.387132 46.316965 
9 63.067748 24.537033 1.799397 31.421453 26.792179 48.014533 43.697291 32.227408 36.542016  .  57.992674 
10 6.021257 29.151012 68.594838 144.924861 71.913939 76.954804 70.346628 70.589361 54.567043 65.524768  .  
[*,*,8]:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  47.543279 49.008655 81.208308 61.272107 61.189733 89.390493 52.765237 60.423721 57.103494 5.653981 
1 44.564900  .  33.118019 26.301490 34.589779 34.491713 23.358160 11.787979 10.892473 22.930244 34.925684 
2 64.106817 59.071540  .  32.387513 33.530113 43.512389 33.126211 42.142274 32.656090 2.783244 64.166468 
3 65.411352 42.359022 30.172537  .  9.872002 9.162038 2.359509 19.251017 28.340832 33.530023 78.005828 
4 57.458832 23.852081 34.487382 10.016155  .  12.849874 16.223229 8.393101 13.155809 34.438748 73.462828 
5 101.690033 53.473550 47.501886 11.893270 16.102463  .  7.705784 28.448947 31.829820 52.129512 67.039693 
6 74.327378 30.071705 32.766080 2.414039 8.716869 7.578921  .  19.058313 33.503175 30.570949 79.141931 
7 38.462089 15.163274 35.494796 18.329435 10.622827 20.479808 16.826704  .  6.699447 17.377731 54.388210 
8 41.483924 11.372811 26.267840 21.819063 15.374427 30.493097 26.401116 9.069844  .  29.485879 64.550536 
9 63.492780 22.786363 2.792620 38.779633 42.533380 38.518794 31.035457 32.444616 26.044055  .  79.531915 
10 7.321016 68.895394 45.101066 103.895834 61.959668 99.873741 65.304968 59.385709 49.525287 60.232096  .  
[*,*,9]:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	:=
0  .  29.602414 109.621554 126.113384 46.838302 63.740166 71.372965 57.156308 58.331123 56.739546 6.151345 
1 33.151948  .  38.045116 87.907050 23.720702 45.876365 35.953895 13.510328 10.887282 27.594697 34.333882 
2 81.636365 25.094816  .  31.477903 34.452207 47.330256 32.027028 33.497783 33.015693 1.813266 69.776885 
3 76.846395 26.044837 28.317859  .  14.671422 9.699544 2.501443 21.063536 26.885823 24.724133 82.551401 
4 65.460345 23.022391 34.318726 9.123635  .  14.836840 7.251174 12.358355 10.344140 33.667489 68.676869 
5 124.819328 34.863254 42.332545 9.774217 14.843828  .  8.035429 21.451948 33.721242 48.709606 81.877918 
